,Комплексні обіди,,,,,,
,,,,,,*швидко втрачає свій смак/вигляд ,
№ п/п,Комплексний обід №1,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Грибний крем-суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат Панцанела: томат рожевий, томат бурий, томат жовтий, базилік, чіабата, сіль, перець, оливкова олія",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Котлета по - київськи рубана,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,"Смажені коренеплоди з цедрою лимона, часником та ароматними травами",150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №2,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Овочевий мінестроне,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат Гурман: бекон, сир Пармезан, лист салату, помідор, яйце, сухарики, соус",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Теріяки курка з ананасом ,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Картопля по-домашньому,150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"Лимонад ""Огірковий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №3,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Пшоняний суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Салат з буряка та бринзи,150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Філе скумбрії фаршироване помідорами та зеленню,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Макарони Фузіллі,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Мохіто""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №4,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Сирний крем-суп з сухариками,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Салат Грецький з сиром Фета,150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Філе тиляпії в апетитному клярі,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №5,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Гороховий крем-суп із сухариками,250,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Салат ,,,,,,
1,"Салат ""Шопський"": помідор, огірок, цибуля Ялта, сир ""Едем"", зелень",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Брошети курячі Теріякі,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Різотто з вершками,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №6,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Суп з броколі та селери,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат ""Сніданок по-грецьки"": молода кортопля, сир Фета, цукіні, маслини, пучок чебрецю",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Котлета куряча,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Кус-кус,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Ягідний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №7,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Гороховий суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат з беконом, куркою, свіжим огірком, грінками, соусом ""грін-чіз""",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Хрусткі курячі крила з соусом Тар-тар,100,,"88,00 грн.","0,00 грн.",,🕓 Змінює зовнішній вигляд
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №8,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Сочевичний суп,250,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Салат ,,,,,,
1,Овочевий салат,150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Курячі мітболи в томатному соусі,100,,"88,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"""Холодний чай""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №9,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Рибна юшка,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат ""Шопський"": помідор, огірок, цибуля Ялта, сир ""Едем"", зелень",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Курячі стегна,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Картопля по-домашньому,150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"""Узвар""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №10,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Червоний борщ,250,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Салат ,,,,,,
1,"Салат ""Кол-Слоу"" з червоною капустою: стебло селери, капуста білокачанна та червонокачанна, морква, цибуля, петрушка, яйце, соус",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Котлета куряча,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Мохіто""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №11,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Суп із фрикадельками та рисом,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат Гурман: бекон, сир Пармезан, лист салату, помідор, яйце, сухарики, соус",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Філе скумбрії фаршироване помідорами та зеленню,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Томатний рис із сиром,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Морс ""Журавлинний""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №12,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Окрошка,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат ""Інтрига"": сир, помідори, куряча грудка, яйце, майонез",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Відбивна свиняча з грибами та сиром,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Картопля по-домашньому,150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №13,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Курячий бульйон з овочами,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Овочевий салат,150,,"73,00 грн.","0,00 грн.",,🍯 Мед та продукти з нього
,Основна страва,,,,,,
1,Міні-шашличок з курки з базиліком та лаймом,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Кус-кус,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"""Холодний чай""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №14,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Гороховий суп,250,,"73,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,"Салат ""Кол-Слоу"" з червоною капустою: стебло селери, капуста білокачанна та червонокачанна, морква, цибуля, петрушка, яйце, соус",150,,"73,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Рибна котлета,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Відварена картопля з зеленню,150,,"45,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"""Узвар""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №15,"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Китайський суп з локшиною,250,,"73,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Салат ,,,,,,
1,"Салат з огірком, томатами, міксом салату, соусом, кунжутом, горіхами",150,,"73,00 грн.","0,00 грн.",,"🍯 Мед, 🥜 Горіхи та продукти з них"
,Основна страва,,,,,,
1,Котлета куряча,100,,"88,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
1,Картопля по-домашньому,150,,"45,00 грн.","0,00 грн.",,🌰 Часник та продукти з нього
,Напої,,,,,,
1,"""Холодний чай""",250,,"21,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,Комплексні обіди ВЕГАН,,,,,,
№ п/п,Комплексний обід №1 (веган),"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Борщ червоний з квасолею,250,,"68,00 грн.","0,00 грн.",,
,Салат ,,,,,,
2,"Салат Афінський (мікс салатів, помідор, огірок, стебло селери, перець болгарський, сир Тофу, соус)",150,,"143,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
3,Запечені овочі,150,,"80,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
4,Відварена картопля,150,,"15,00 грн.","0,00 грн.",,
,Напої,,,,,,
5,"Морс ""Ягідний""",250,,"58,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
,,,,,,,
№ п/п,Комплексний обід №2 (веган),"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Овочевий мінестроне ,250,,"80,00 грн.","0,00 грн.",,
,Салат ,,,,,,
2,Салат Грецький з сиром Тофу,150,,"110,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
3,Капуста тушкована з печерицями,100,,"83,00 грн.","0,00 грн.",,
,Гарнір,,,,,,
4,Булгур з овочами та оливковою олією,150,,"43,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"Лимонад ""Цитрусовий""",250,,"68,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
,,,,,,,
№ п/п,Комплексний обід №3 (веган),"Вихід на стіл, порція/вага, гр.",Кіл-сть порцій,"Ціна, грн","Сума, грн",,
,Меню із розрахунку на * осіб,,,,,,
,Перша страва,,,,,,
1,Грибна юшка,250,,"68,00 грн.","0,00 грн.",,
,Салат ,,,,,,
1,Овочевий салат,150,,"88,00 грн.","0,00 грн.",,
,Основна страва,,,,,,
1,Запечена капуста з бейбі морквою,300,,"245,00 грн.","0,00 грн.",,
,Напої,,,,,,
1,"""Холодний чай""",250,,"38,00 грн.","0,00 грн.",,
,,,,,,,
,,,,Всього:,"0,00 грн.",,
